timestamp,power_draw_W
2025-10-14T01:34:58.479029+00:00,2.73
2025-10-14T01:34:59.534079+00:00,2.86
2025-10-14T01:35:00.588126+00:00,2.66
2025-10-14T01:35:01.644504+00:00,2.72
2025-10-14T01:35:02.710394+00:00,2.71
2025-10-14T01:35:03.765505+00:00,2.71
2025-10-14T01:35:04.822931+00:00,2.70
2025-10-14T01:35:05.885683+00:00,2.73
2025-10-14T01:35:06.937466+00:00,3.41
2025-10-14T01:35:07.989038+00:00,2.72
2025-10-14T01:35:09.039949+00:00,2.91
2025-10-14T01:35:10.100041+00:00,3.44
2025-10-14T01:35:11.149645+00:00,3.08
2025-10-14T01:35:12.212332+00:00,2.63
2025-10-14T01:35:13.293466+00:00,2.79
2025-10-14T01:35:14.352839+00:00,2.80
2025-10-14T01:35:15.408893+00:00,2.61
2025-10-14T01:35:16.466426+00:00,2.77
2025-10-14T01:35:17.524871+00:00,2.66
2025-10-14T01:35:18.595702+00:00,2.67
2025-10-14T01:35:19.655607+00:00,2.86
2025-10-14T01:35:20.704665+00:00,2.61
2025-10-14T01:35:21.766889+00:00,2.83
2025-10-14T01:35:22.818381+00:00,2.70
2025-10-14T01:35:23.868275+00:00,2.82
2025-10-14T01:35:24.935545+00:00,2.69
2025-10-14T01:35:25.998085+00:00,2.76
2025-10-14T01:35:27.060908+00:00,2.85
2025-10-14T01:35:28.119807+00:00,2.67
2025-10-14T01:35:29.180641+00:00,2.76
2025-10-14T01:35:30.231819+00:00,2.91
